timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2023-12-11 18:34:48.412949,"(0.4537523686885834, 0.489015132188797)",1,"(0.46726101636886597, 0.4601321816444397)",1,3.49554443359375,1,3.307952880859375,1
2023-12-11 18:34:48.429503,"(0.45248734951019287, 0.4895525276660919)",1,"(0.4609615206718445, 0.4567805528640747)",1,3.488372802734375,1,3.2952728271484375,1
2023-12-11 18:34:48.445721,"(0.45212820172309875, 0.4908742308616638)",1,"(0.4596824049949646, 0.45509442687034607)",1,3.478729248046875,1,3.2949066162109375,1
2023-12-11 18:34:48.461371,"(0.45089685916900635, 0.4887302815914154)",1,"(0.4581250250339508, 0.4568693935871124)",1,3.480224609375,1,3.290557861328125,1
2023-12-11 18:34:48.479221,"(0.45874500274658203, 0.4843900501728058)",1,"(0.46458765864372253, 0.4519350826740265)",1,3.484832763671875,1,3.2913818359375,1
2023-12-11 18:34:48.496239,"(0.4633271098136902, 0.488855242729187)",1,"(0.4751312732696533, 0.4980974793434143)",1,3.4962310791015625,1,3.20672607421875,1
2023-12-11 18:34:48.511410,"(0.46603628993034363, 0.5014004707336426)",1,"(0.47343507409095764, 0.556418240070343)",1,3.493133544921875,1,3.0824127197265625,1
2023-12-11 18:34:48.513116,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.533810,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.549481,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.577933,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.579581,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.600580,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.618132,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.645352,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.649782,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.678055,"(nan, nan)",0,"(0.18707650899887085, 1.3147776126861572)",1,,0,2.446502685546875,1
2023-12-11 18:34:48.685567,"(nan, nan)",0,"(0.18707650899887085, 1.3147776126861572)",1,,0,2.446502685546875,1
2023-12-11 18:34:48.699439,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.729203,"(0.4292981028556824, 0.5440786480903625)",1,"(nan, nan)",0,3.25885009765625,1,,0
2023-12-11 18:34:48.746224,"(0.4292981028556824, 0.5440786480903625)",1,"(nan, nan)",0,3.25885009765625,1,,0
2023-12-11 18:34:48.761094,"(0.4544661343097687, 0.4076142907142639)",1,"(0.45601436495780945, 0.3846641480922699)",1,3.5162200927734375,1,3.22528076171875,1
2023-12-11 18:34:48.779175,"(0.4490170180797577, 0.40758344531059265)",1,"(0.447256475687027, 0.35022854804992676)",1,3.5283203125,1,3.3037872314453125,1
2023-12-11 18:34:48.795724,"(0.4479413330554962, 0.4055415391921997)",1,"(0.4535827934741974, 0.35208219289779663)",1,3.5400543212890625,1,3.319061279296875,1
2023-12-11 18:34:48.812384,"(0.44646283984184265, 0.3969569206237793)",1,"(0.4545038342475891, 0.3780231773853302)",1,3.5414886474609375,1,3.2936859130859375,1
2023-12-11 18:34:48.829436,"(0.44560348987579346, 0.3954470753669739)",1,"(0.4543599486351013, 0.37326285243034363)",1,3.5392608642578125,1,3.2965850830078125,1
2023-12-11 18:34:48.846285,"(0.44356077909469604, 0.39741647243499756)",1,"(0.4563276767730713, 0.37234821915626526)",1,3.53472900390625,1,3.2975616455078125,1
2023-12-11 18:34:48.861378,"(0.44452351331710815, 0.40089547634124756)",1,"(0.4549981951713562, 0.3751057982444763)",1,3.5243682861328125,1,3.2919464111328125,1
2023-12-11 18:34:48.879065,"(0.4522688090801239, 0.4071725606918335)",1,"(0.4529308080673218, 0.37184906005859375)",1,3.5262298583984375,1,3.2826080322265625,1
2023-12-11 18:34:48.895752,"(0.45156946778297424, 0.4093959331512451)",1,"(0.44935640692710876, 0.37855809926986694)",1,3.5238037109375,1,3.2850189208984375,1
2023-12-11 18:34:48.912919,"(0.45515260100364685, 0.4115031659603119)",1,"(0.451110303401947, 0.3817078173160553)",1,3.5338592529296875,1,3.2938995361328125,1
